qid,video_id,question_type,capability,question,duration,question_prompt,answer,youtube_url,model_response
0038-0,sj81PWrerDk,Primary Open-ended Question,Professional Knowledge,Why was the last person able to snap off the cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"The last person was able to snap off the cap so easily because they used a knife. The knife provided leverage and a sharp edge that could cut through the metal of the bottle cap, making it much easier to remove compared to using fingers alone."
0038-1,sj81PWrerDk,Paraphrased Open-ended Question,Professional Knowledge,What was the reason that the last person was able to break off the bottle cap so easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"The last person was able to break off the bottle cap so easily because they used a knife. The knife provided leverage and a sharp edge that could be used to pry off the cap, making it much easier than trying to open it with just their hands or another blunt object."
0038-2,sj81PWrerDk,Correctly-led Open-ended Question,Professional Knowledge,Did the last person successfully break the bottle?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"No, the last person did not successfully break the bottle. The video shows the person attempting to break a Coca-Cola bottle with a knife but fails. The bottle remains intact throughout the sequence."
0038-3,sj81PWrerDk,Wrongly-led Open-ended Question,Professional Knowledge,Did the last person use a lighter as a lever to snap off the cap easily?,8.85,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sj81PWrerDk,"No, the last person did not use a lighter as a lever to snap off the cap. Instead, they used their fingers to pry off the cap of the Coca-Cola bottle. The video shows the person manipulating the cap with their hand, indicating that no additional tools like a lighter were used."
0038-7,sj81PWrerDk,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"How did the last person snap off the cap so easily?
A. They used a knife to create leverage.
B. They had a knife hidden in their sleeve, which they used to cut the cap off.
C. They made a shallow cut around the bottle's mouth.
D. They were using a knife to twist and break the cap.",8.85,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sj81PWrerDk,A
0064-0,sE-KTqE9Dek,Primary Open-ended Question,Objective Causality,Why did the room go dark after the stick figure character closed the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"The room went dark after the stick figure character closed the door because the light switch was on the wall outside the room, and when the character closed the door, it likely turned off the light. This is a common scenario where the light switch controls the room's lighting from the entrance, and closing the door can inadvertently turn off the light if the switch is not in the desired position."
0064-1,sE-KTqE9Dek,Paraphrased Open-ended Question,Objective Causality,What caused the room to become dark after the stick figure character shut the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"The room became dark after the stick figure character shut the door because the light bulb on the wall was turned off. The character's action of closing the door likely triggered the light to turn off, plunging the room into darkness."
0064-2,sE-KTqE9Dek,Correctly-led Open-ended Question,Objective Causality,"Did the room go dark because the stick figure character closed the door, causing the lamp to fall?",12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"No, the room did not go dark because the stick figure character closed the door and caused the lamp to fall. The video shows the stick figure turning off the light switch on the wall, which then causes the room to go dark. The lamp remains on the dresser and does not fall."
0064-3,sE-KTqE9Dek,Wrongly-led Open-ended Question,Objective Causality,Did the room go dark because the stick figure character accidentally hit the light switch when closing the door?,12.61,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/sE-KTqE9Dek,"No, the room did not go dark because the stick figure character accidentally hit the light switch when closing the door. The video shows the stick figure entering a bedroom and looking into a mirror, but there is no interaction with the light switch. The room goes dark after the stick figure leaves, suggesting that the light was turned off or went out for another reason."
0064-7,sE-KTqE9Dek,Multiple-choice Question with a Single Correct Answer,Objective Causality,"Why did the room go dark after the stick figure character closed the door?
A. The lamp fell due to force.
B. The light switch was hit.
C. The stick figure character closed the door.
D. The stick figure character turned off the light switch.",12.61,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/sE-KTqE9Dek,D
0070-0,MSkL7A2yyOY,Primary Open-ended Question,Event Counting,How many times did the person in the video pour the water?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"The person in the video poured water twice. Initially, they poured water from a green cup into a black mug shaped like a gun. After pausing and making a gesture with their hand, they lifted the green cup again and poured water a second time."
0070-1,MSkL7A2yyOY,Paraphrased Open-ended Question,Event Counting,How many times does the person pour water in the video?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"The person pours water twice in the video. Initially, they pour water from a green mug into a black mug shaped like a gun. After pausing and making a gesture with their hand, they resume pouring water from the same green mug into the black mug again."
0070-2,MSkL7A2yyOY,Correctly-led Open-ended Question,Event Counting,Did the person in the video pour the water twice?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"Yes, the person in the video poured water twice. Initially, they poured water from a green mug into a black mug shaped like a gun. After pausing and making a gesture with their hand, they lifted the green mug again and poured more water into the black mug."
0070-3,MSkL7A2yyOY,Wrongly-led Open-ended Question,Event Counting,Did the person in the video pour the water once?,12.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/MSkL7A2yyOY,"No, the person in the video poured the water twice. Initially, they poured water from a green mug into a black mug shaped like a gun. After a brief pause and some expressive gestures, they repeated the action of pouring water from the green mug into the black mug."
0070-7,MSkL7A2yyOY,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many times did the person in the video pour the water?
A. Once
B. Three times
C. Four times
D. Twice",12.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/MSkL7A2yyOY,D
0080-0,_MXxJT8Mk4k,Primary Open-ended Question,Professional Knowledge,What is the purpose of beating the balloon?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"The purpose of beating the balloon is to inflate it. In the video, a yellow balloon is shown being inflated by hand, which causes it to expand and take on a round shape. This process is necessary to give the balloon its final form and prepare it for further decoration or use."
0080-1,_MXxJT8Mk4k,Paraphrased Open-ended Question,Professional Knowledge,Why do you need to hit the balloon in this activity?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"In this activity, hitting the balloon is necessary to inflate it. The video shows a yellow balloon being inflated by hand, which requires pressing or squeezing air into it. This action increases the volume of air inside the balloon, causing it to expand and take shape. Once inflated, the balloon can be used for further activities, such as drawing on it or playing with it."
0080-2,_MXxJT8Mk4k,Correctly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to create a fun and interactive toy?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"Yes, the purpose of hitting the balloon is to create a fun and interactive toy. The video shows the transformation of a simple yellow balloon into a colorful and playful object with faces drawn on it. This suggests that the activity is designed to engage children in a creative and entertaining way, making the balloons more appealing as toys."
0080-3,_MXxJT8Mk4k,Wrongly-led Open-ended Question,Professional Knowledge,Is the purpose of hitting the balloon to make it pop loudly?,13.18,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/_MXxJT8Mk4k,"No, the purpose of hitting the balloon is not to make it pop loudly. The video shows a series of steps where a glove is cut and filled with vinegar, then baking soda is added, and finally, the mixture inflates the balloon. The final step involves drawing faces on the inflated balloons, suggesting that the activity is more about creating a fun, visual result rather than making a loud noise. The balloons are likely being hit or tapped gently to ensure they are properly inflated and to check their firmness, but not to pop them."
0080-7,_MXxJT8Mk4k,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,"What is the purpose of beating the balloon?
A. To inflate the balloon
B. To pop it
C. To deflate it
D. To change its color",13.18,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/_MXxJT8Mk4k,E
0081-0,crJZF1-5ryE,Primary Open-ended Question,Character Motivation Causality,Why does the man put his hand on his face?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"The man puts his hand on his face as part of a playful and synchronized dance move with the woman. It appears to be a choreographed gesture that matches her movements, adding a fun and coordinated element to their interaction in front of the mirror."
0081-1,crJZF1-5ryE,Paraphrased Open-ended Question,Character Motivation Causality,What is the reason the man covers his face with his hand?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"The man covers his face with his hand as part of a playful interaction. He appears to be mimicking the woman's actions, who is also covering her face and making various gestures. This suggests they are engaging in a fun, synchronized activity, possibly for a video or social media content."
0081-2,crJZF1-5ryE,Correctly-led Open-ended Question,Character Motivation Causality,Did the man cover his face to transfer the cat face filter to the girl next to him?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"No, the man did not cover his face to transfer the cat face filter to the girl next to him. The video shows that both individuals have the cat face filter applied simultaneously. The man's actions do not appear to affect the application of the filter on the woman."
0081-3,crJZF1-5ryE,Wrongly-led Open-ended Question,Character Motivation Causality,Did the man put his hand on his face as part of a synchronized dance move?,11.86,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/crJZF1-5ryE,"No, the man did not put his hand on his face as part of a synchronized dance move. Throughout the video, the man remains mostly stationary with his hands in his pockets or by his sides. The woman is the one who performs various dance moves, including putting her hands on her face, but the man does not mirror these actions."
0081-7,crJZF1-5ryE,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,"Why does the man put his hand on his face?
A. To adjust his glasses.
B. To hide from the camera.
C. As part of a synchronized dance move.
D. To transfer the cat face filter to the girl next to him.",11.86,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/crJZF1-5ryE,C
0083-0,Z-x3kXiyOFc,Primary Open-ended Question,Plot Attribute,What does the video want to tell as the daughter enters the room several times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"The video humorously portrays the typical reaction of an Asian mother when her child brings home a pet. As the daughter enters the room several times, it emphasizes the mother's initial disapproval and concern about the dog being in the house. The repeated entries highlight the daughter's attempts to convince her mother to accept the pet, while the mother expresses worries about allergies, cleanliness, and the cost of having a pet. The video concludes with a playful twist, suggesting that the daughter will become a doctor, which is often seen as a favorable career choice in many Asian cultures, adding a layer of humor and cultural commentary."
0083-1,Z-x3kXiyOFc,Paraphrased Open-ended Question,Plot Attribute,What is the message conveyed by the daughter's repeated entries into the room?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"The message conveyed by the daughter's repeated entries into the room is one of persistence and determination. Despite her mother's initial disapproval and attempts to shoo her away, the daughter keeps coming back, showing that she is not easily deterred. This persistence suggests that she is committed to her decision to keep the dog and is willing to face any challenges or objections from her mother. The final scene where the daughter returns with a picture of herself as a doctor implies that she has a clear vision for her future and is confident in her choices."
0083-2,Z-x3kXiyOFc,Correctly-led Open-ended Question,Plot Attribute,Is the daughter trying to uncover her mother's true feelings about the pet dog by entering the room multiple times?,43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"Yes, the daughter is trying to uncover her mother's true feelings about the pet dog by entering the room multiple times. The video shows the daughter repeatedly entering the room and observing her mother's reactions to the dog. Her actions suggest that she is testing whether her mother genuinely dislikes the dog or if there might be a different reason for her behavior. The final scene, where the daughter pretends to close the door and then re-enters, further indicates her attempt to catch her mother off guard and reveal her true feelings."
0083-3,Z-x3kXiyOFc,Wrongly-led Open-ended Question,Plot Attribute,"Does the video show the daughter repeatedly entering the room to announce the pet dog, highlighting cultural differences?",43.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/Z-x3kXiyOFc,"No, the video does not show the daughter repeatedly entering the room to announce the pet dog. Instead, it depicts a single interaction where the daughter brings in the dog and the mother reacts with disapproval. The cultural differences are highlighted through the mother's reaction and subsequent actions, such as scolding the daughter and threatening the dog, rather than through repeated announcements."
0083-7,Z-x3kXiyOFc,Multiple-choice Question with a Single Correct Answer,Plot Attribute,"Why does the daughter enter the room several times?
A. To announce the pet dog.
B. To show excitement about the pet.
C. To emphasize cultural differences.
D. To check if her mother is two-faced about the dog.",43.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/Z-x3kXiyOFc,D
0099-0,aUDYWYqtAR4,Primary Open-ended Question,Event Counting,How many zoomed-in close-ups are there throughout the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,There are no zoomed-in close-ups throughout the video. The video consistently shows a full view of the evolving geometric pattern without any changes in scale or focus.
0099-1,aUDYWYqtAR4,Paraphrased Open-ended Question,Event Counting,What is the total number of zoomed-in close-ups in the video?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,"There are no zoomed-in close-ups in the video. The video shows a continuous expansion of the geometric pattern from a central point, but it does not include any specific zoomed-in close-up shots that focus on particular details or sections of the pattern."
0099-2,aUDYWYqtAR4,Correctly-led Open-ended Question,Event Counting,"Are there two zoomed-in close-ups in the video, focusing on the geometric pattern?",59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,"No, there are no two zoomed-in close-ups in the video. The video shows a continuous transformation of the geometric pattern from a complex design to a simpler one without any specific zoom-ins."
0099-3,aUDYWYqtAR4,Wrongly-led Open-ended Question,Event Counting,Does the video contain 10 zoomed-in close-ups of the geometric pattern?,59.97,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/aUDYWYqtAR4,"No, the video does not contain 10 zoomed-in close-ups of the geometric pattern. The video shows a continuous transformation and expansion of the geometric pattern into a complex design, but it does not include multiple distinct zoomed-in close-ups. The focus remains on the evolving pattern as a whole throughout the sequence."
0099-7,aUDYWYqtAR4,Multiple-choice Question with a Single Correct Answer,Event Counting,"How many zoomed-in close-ups are there in the video?
A. 2
B. 4
C. 3
D. 1",59.97,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/aUDYWYqtAR4,D
0101-0,FdkXmy42Qv8,Primary Open-ended Question,Event Localization,In which sequence of location does the man teleport in the video?,24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8,"The man in the video appears to teleport from one location to another in the following sequence:

1. **Behind the blanket**: Initially, the man is hidden behind a blanket, creating a ghost-like appearance.
2. **On top of the couch**: He then seems to appear on top of the couch, surprising the dog.
3. **Inside a cardboard box**: Next, he is seen inside a cardboard box, again catching the dog off guard.
4. **Behind the blanket again**: Finally, he reappears behind the blanket.

This sequence gives the illusion of teleportation as the man quickly moves between these locations, each time surprising the dog and adding to the playful and humorous nature of the video."
0101-1,FdkXmy42Qv8,Paraphrased Open-ended Question,Event Localization,What is the order of locations where the man appears after teleporting in the video?,24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8,"The man appears in the following order after teleporting:

1. **Behind the bookshelf:** After disappearing under the blanket, he reappears behind the bookshelf, causing books to fall.
2. **Under the couch:** He then appears under the couch, peeking out from underneath it.
3. **Inside a cardboard box:** Next, he is seen inside a cardboard box on the floor.
4. **Behind the dog:** Finally, he appears behind the dog, still holding the blanket over his head.

This sequence is based on the visual observations of the man's appearances in different locations throughout the video."
0101-2,FdkXmy42Qv8,Correctly-led Open-ended Question,Event Localization,"Does the man teleport to the bookshelf, couch, cardboard box, and then back under the blanket in the video?",24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8,"No, the man does not teleport. The video shows him moving from under a blanket to different locations in the room: behind a bookshelf, behind a couch, inside a cardboard box, and then back under the blanket. These movements are captured through quick cuts and changes in camera angles, giving the illusion of rapid movement but not actual teleportation."
0101-3,FdkXmy42Qv8,Wrongly-led Open-ended Question,Event Localization,"In the video, does the man first teleport to the bookshelf, then to the cardboard box, then to the couch, and finally return to under the blanket?",24.04,Please state your answer with a brief explanation.,,https://www.youtube.com/shorts/FdkXmy42Qv8,"No, the man does not teleport in the video. Instead, he is seen hiding under a blanket and then moving to different locations in the room. The sequence of his movements is as follows: he starts by hiding under a blanket, then appears behind a bookshelf, next he is seen peeking from behind a couch, and finally, he hides inside a cardboard box. These actions are performed sequentially without any indication of teleportation."
0101-7,FdkXmy42Qv8,Multiple-choice Question with a Single Correct Answer,Event Localization,"In which sequence of location does the man teleport in the video?
A. Bookshelf, Couch, Blanket, Cardboard Box
B. Bookshelf, Couch, Cardboard Box, Blanket
C. Bookshelf, Couch, Cardboard Box, Door
D. Couch, Bookshelf, Cardboard Box, Blanket",24.04,"E. None of the above
Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",,https://www.youtube.com/shorts/FdkXmy42Qv8,B
